"","Tract","Discon","Pathway"
"1","AC",0,"Commissural"
"2","AF_L",0,"Association"
"3","AF_R",100,"Association"
"4","AR_L",0,"Projection"
"5","AR_R",4.58715596330275,"Projection"
"6","C_L",0,"Association"
"7","C_R",28.9244851258581,"Association"
"8","CB_L",0,"Cerebellum"
"9","CB_R",0,"Cerebellum"
"10","CCAnterior",47.2217874471748,"Commissural"
"11","CCCentral",94.6765249537893,"Commissural"
"12","CCMidAnterior",98.0834272829763,"Commissural"
"13","CCMidPosterior",65.7677902621723,"Commissural"
"14","CCPosterior",16.9607450794921,"Commissural"
"15","CS_L",0,"Projection"
"16","CS_R",76.7450682852807,"Projection"
"17","CST_L",0,"Projection"
"18","CST_R",99.9595141700405,"Projection"
"19","CT_L",0,"Projection"
"20","CT_R",61.5849777211967,"Projection"
"21","CTT_L",0,"Brainstem"
"22","CTT_R",0,"Brainstem"
"23","DLF_L",0,"Brainstem"
"24","DLF_R",0,"Brainstem"
"25","EMC_L",0,"Association"
"26","EMC_R",84.3441466854725,"Association"
"27","F_L",0,"Projection"
"28","F_R",0,"Projection"
"29","FAT_L",0,"Association"
"30","FAT_R",100,"Association"
"31","FPT_L",0,"Projection"
"32","FPT_R",99.8436103663986,"Projection"
"33","ICP_L",0,"Cerebellum"
"34","ICP_R",0,"Cerebellum"
"35","IFOF_L",0,"Association"
"36","IFOF_R",55.6572683998535,"Association"
"37","ILF_L",0,"Association"
"38","ILF_R",0,"Association"
"39","LL_L",0,"Brainstem"
"40","LL_R",0,"Brainstem"
"41","MCP",0,"Cerebellum"
"42","MdLF_L",0,"Association"
"43","MdLF_R",81.044776119403,"Association"
"44","ML_L",0,"Brainstem"
"45","ML_R",0,"Brainstem"
"46","MLF_L",0,"Brainstem"
"47","MLF_R",0,"Brainstem"
"48","OPT_L",0,"Projection"
"49","OPT_R",2.04081632653061,"Projection"
"50","OR_L",0,"Projection"
"51","OR_R",0,"Projection"
"52","PC",0,"Commissural"
"53","PPT_L",0,"Projection"
"54","PPT_R",84.4406343763395,"Projection"
"55","RST_L",0,"Brainstem"
"56","RST_R",0,"Brainstem"
"57","SCP",0,"Cerebellum"
"58","SLF_L",0,"Association"
"59","SLF_R",100,"Association"
"60","STT_L",0,"Brainstem"
"61","STT_R",0,"Brainstem"
"62","TPT_L",0,"Projection"
"63","TPT_R",0,"Projection"
"64","U_L",0,"Association"
"65","U_R",49.7951500387554,"Association"
"66","UF_L",0,"Association"
"67","UF_R",0,"Association"
"68","V",0,"Cerebellum"
"69","VOF_L",0,"Association"
"70","VOF_R",0,"Association"
