data	data	1	60	234	688	778	912	168	1706	708	996	444	1270	684	1434	2838	520	424	1754	202	242	1870	1508	3154	730	2834	746	1172	40	58	1892	1060	3134	1090	342	5750	116	1	7540	1292	184	472	1458	6346	68	1770	3732	886	938	1	42	6	14	342	54	138	4	480	594	2	112	18	524	14	78	230	4	448	32	38	1022	20	432	138	644	18	84	1	76	56	2094	10	44	72	1342	14	442	1	1	446	44	72	784	840	80	1376	1	36	2	24	24	6336	16	964	1	2590	2	592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	6	1	1	1	1	1	1	1	1	1	1	8742	
data	data	Left-Cerebral-Exterior	Left-Cerebral-White-Matter	Left-Cerebral-Cortex	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-Exterior	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	Left-Insula	Left-Operculum	Line-1	Line-2	Line-3	CSF	Left-Lesion	Left-Accumbens-area	Left-Substancia-Nigra	Left-VentralDC	Left-undetermined	Left-vessel	Left-choroid-plexus	Left-F3orb	Left-lOg	Left-aOg	Left-mOg	Left-pOg	Left-Stellate	Left-Porg	Left-Aorg	Right-Cerebral-Exterior	Right-Cerebral-White-Matter	Right-Cerebral-Cortex	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-Exterior	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Insula	Right-Operculum	Right-Lesion	Right-Accumbens-area	Right-Substancia-Nigra	Right-VentralDC	Right-undetermined	Right-vessel	Right-choroid-plexus	Right-F3orb	Right-lOg	Right-aOg	Right-mOg	Right-pOg	Right-Stellate	Right-Porg	Right-Aorg	5th-Ventricle	Left-Interior	Right-Interior	100Parcels7Networks_75	100Parcels7Networks_76	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Left-F1	Right-F1	Optic-Chiasm	Left_future_WMSA	Right_future_WMSA	future_WMSA	100Parcels7Networks_89	100Parcels7Networks_90	100Parcels7Networks_91	100Parcels7Networks_92	100Parcels7Networks_93	100Parcels7Networks_94	100Parcels7Networks_95	Left-Amygdala-Anterior	Right-Amygdala-Anterior	Dura	100Parcels7Networks_99	Left-wm-intensity-abnormality	Left-caudate-intensity-abnormality	Left-putamen-intensity-abnormality	Left-accumbens-intensity-abnormality	Left-pallidum-intensity-abnormality	Left-amygdala-intensity-abnormality	Left-hippocampus-intensity-abnormality	Left-thalamus-intensity-abnormality	Left-VDC-intensity-abnormality	Right-wm-intensity-abnormality	Right-caudate-intensity-abnormality	Right-putamen-intensity-abnormality	Right-accumbens-intensity-abnormality	Right-pallidum-intensity-abnormality	Right-amygdala-intensity-abnormality	Right-hippocampus-intensity-abnormality	Right-thalamus-intensity-abnormality	Right-VDC-intensity-abnormality	Epidermis	Conn-Tissue	SC-Fat-Muscle	Cranium	CSF-SA	Muscle	Ear	Adipose	Spinal-Cord	Soft-Tissue	Nerve	Bone	Air	Orbital-Fat	Tongue	Nasal-Structures	Globe	Teeth	
1	Left-Cerebral-Exterior	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60	Left-Cerebral-White-Matter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
234	Left-Cerebral-Cortex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	75	0	15	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
688	Left-Lateral-Ventricle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	1	102	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	
778	Left-Inf-Lat-Vent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	93	0	111	0	0	0	0	0	0	0	0	2	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	2	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	
912	Left-Cerebellum-Exterior	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	6	0	0	0	0	0	6	0	0	0	34	140	0	223	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
168	Left-Cerebellum-White-Matter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	
1706	Left-Cerebellum-Cortex	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	2	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	
